epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_mean,val_margin_mean
1,0.5831523438294729,0.6003203511238098,0.7761324041811847,0.7177700348432056,0.2699706137232249,0.23219073493721593
2,0.44035258723629844,0.48050037026405334,0.8013937282229965,0.7491289198606271,1.2110529942470456,1.0353223780877499
3,0.3903905252615611,0.4359374403953552,0.8196864111498258,0.794425087108014,1.4266714316237887,1.2232794962849352
4,0.34236040711402893,0.40894668698310854,0.8493031358885017,0.8292682926829268,1.6940834208453261,1.4428985059936288
5,0.2929447905884849,0.3913668692111969,0.867595818815331,0.8362369337979094,2.0700284930056396,1.7296664022454402
6,0.24735268536541197,0.36657931804656985,0.8972125435540069,0.8536585365853658,2.3411078000642385,1.9310160345732128
7,0.1983637867702378,0.3442054748535156,0.9303135888501742,0.8606271777003485,2.844581719708567,2.330623428736414
8,0.15892805697189438,0.3336324155330658,0.9425087108013938,0.8710801393728222,3.3368300042644092,2.6955666247145222
9,0.12130954157974985,0.3153740346431732,0.9625435540069687,0.867595818815331,3.7698719979163244,3.0271159858030723
10,0.09614485212498242,0.2955025196075439,0.9843205574912892,0.8745644599303136,4.021263930141822,3.2400163968681044
11,0.07127315261297756,0.29942957162857053,0.985191637630662,0.8815331010452961,4.762704357764447,3.895246926967691
12,0.056455428815550275,0.3129808247089386,0.9886759581881533,0.8606271777003485,5.122911120566965,4.058253448495466
13,0.04248404244167937,0.30448250770568847,0.9947735191637631,0.867595818815331,5.580751754862714,4.352131787596679
14,0.03363939178072744,0.30185027718544005,0.9956445993031359,0.8780487804878049,6.038188813870792,4.766548545206881
15,0.02644829995309313,0.30789870023727417,0.9956445993031359,0.8815331010452961,6.636669581463943,5.120107699769714
16,0.020523893491675455,0.29921366572380065,0.9956445993031359,0.8815331010452961,7.117644609630315,5.5636240564779955
17,0.018907459194047585,0.2943964719772339,0.9956445993031359,0.8780487804878049,7.324360474892194,5.650591487253169
18,0.022524765123509698,0.30435638427734374,0.9965156794425087,0.8989547038327527,7.13845666765336,5.547328243687593
19,0.01702059091379245,0.288652628660202,0.9956445993031359,0.8885017421602788,7.4774838981935785,5.843944581128164
20,0.018690566713404324,0.33430165648460386,0.9965156794425087,0.8745644599303136,8.144224107265472,6.160807596058795
21,0.015676923251400392,0.31677542328834535,0.9965156794425087,0.8989547038327527,8.115870107964772,6.348995926384311
22,0.014650408437268602,0.3238875240087509,0.9965156794425087,0.8954703832752613,8.53277048375133,6.642234730180547
23,0.011167589924298227,0.3312010645866394,0.9965156794425087,0.89198606271777,8.426245618676475,6.459381576199149
24,0.011269065021123324,0.31538835167884827,0.9965156794425087,0.9024390243902439,8.489735314239608,6.548657829545516
25,0.011738586187776592,0.3305452585220337,0.9965156794425087,0.8850174216027874,8.618019535566456,6.504970409936606
26,0.013372345206638178,0.3356682538986206,0.9965156794425087,0.8815331010452961,9.334744851867496,6.984272050317571
27,0.013768847902408905,0.3379820495843887,0.9965156794425087,0.8954703832752613,9.186210738449562,7.156222584563265
28,0.008802718935637839,0.34054147005081176,0.9965156794425087,0.89198606271777,9.664848226288054,7.367719676228766
29,0.011293671468997167,0.33476628065109254,0.9965156794425087,0.9059233449477352,9.433455452686403,7.499768553295202
30,0.009288716712035239,0.32118149399757384,0.9965156794425087,0.8989547038327527,10.039379059229994,7.838906500397659
31,0.00802277990927299,0.3321417570114136,0.9965156794425087,0.9024390243902439,9.829411675705726,7.6565938975649015
32,0.011483867057702608,0.33785071074962614,0.9965156794425087,0.8815331010452961,9.742085570865392,7.282739372203574
33,0.012609981336734362,0.33812437355518343,0.9956445993031359,0.8850174216027874,10.107771715220673,7.7363514239779745
34,0.009917213426282009,0.30006095170974734,0.9965156794425087,0.9024390243902439,9.269140784956438,7.185124039026919
35,0.009764248763935434,0.3245070368051529,0.9965156794425087,0.8989547038327527,9.603778993211142,7.47225367566019
36,0.014271224603160389,0.3406722009181976,0.9956445993031359,0.8954703832752613,9.805208795577391,7.469865719304267
37,0.008473795489408076,0.3241372585296631,0.9965156794425087,0.89198606271777,10.274410902207737,7.871619982067301
38,0.009357734835551431,0.32641230523586273,0.9965156794425087,0.8954703832752613,9.50291795909197,7.294890491441151
39,0.010341892904964171,0.3072254002094269,0.9965156794425087,0.8989547038327527,9.877262175498524,7.494805762576725
40,0.007649612095620897,0.31245256066322324,0.9965156794425087,0.9059233449477352,10.090667532711494,7.865031989609323
41,0.006467059416334248,0.33190972805023194,0.9965156794425087,0.9128919860627178,10.622782894543239,8.29824832590615
42,0.006243991424627084,0.31610201597213744,0.9965156794425087,0.8954703832752613,10.869921960481783,8.223814884544664
43,0.0068475654600964235,0.32550209760665894,0.9965156794425087,0.9059233449477352,11.261001417445804,8.607295776493459
44,0.009149380320903018,0.3241496950387955,0.9965156794425087,0.9094076655052264,11.115815763274137,8.633844956288355
45,0.007686610754010164,0.3182687520980835,0.9965156794425087,0.9094076655052264,10.576819040634076,8.31615986662044
46,0.009008291816119,0.32129774391651156,0.9965156794425087,0.9163763066202091,10.926226855778113,8.483728997798746
47,0.006895022091662718,0.28523977398872374,0.9965156794425087,0.9094076655052264,10.294219747029945,7.927265114900543
48,0.006089531784204559,0.30416489243507383,0.9965156794425087,0.9094076655052264,10.41840404957429,7.931475004460338
49,0.006676066880269597,0.31280104219913485,0.9965156794425087,0.9094076655052264,10.475897334490089,8.042379740223236
50,0.00854972645013024,0.3071173369884491,0.9965156794425087,0.9128919860627178,10.990737099680752,8.429643975733049
